traceID,spanID,process.serviceName,operationName,startTime,startTimeMillis,duration,tags,references,references.0.refType,references.0.spanID,references.0.traceID
2069a7d9f5d85ca6,9ecb4a13ef6e3f94,nginx-web-server,register_client,1669361909973857,1669361909973,139043,,,CHILD_OF,5650b594d6cc9273,2069a7d9f5d85ca6
ee0946d5052bb95,b88f2e600cd6d55f,nginx-web-server,register_client,1669361909978296,1669361909978,120639,,,CHILD_OF,8a576f841169d0a8,ee0946d5052bb95
2055d428ad328f76,c44d6a022c686fd2,nginx-web-server,register_client,1669361909978418,1669361909978,95805,,,CHILD_OF,5e5648a9b0156405,2055d428ad328f76
2472bdb70b810134,c6d16324f4dd47b6,nginx-web-server,register_client,1669361909978767,1669361909978,181005,,,CHILD_OF,17c0c79c52f6229b,2472bdb70b810134
3e7fdf3c14a0208,3c7ba9e3db879354,nginx-web-server,register_client,1669361909979122,1669361909979,105998,,,CHILD_OF,220afc4b89d4217c,3e7fdf3c14a0208
250fc1920112f3f1,851df7d7ff51ff6a,nginx-web-server,register_client,1669361909980235,1669361909980,93679,,,CHILD_OF,b7995d94a2e34843,250fc1920112f3f1
2d101e81c1d171fc,f52cc109300684f4,nginx-web-server,register_client,1669361909980352,1669361909980,101230,,,CHILD_OF,a6f46bdc4267e85c,2d101e81c1d171fc
ccbbc95d13963b8,43db7a6aaa4a055,nginx-web-server,register_client,1669361909983518,1669361909983,158272,,,CHILD_OF,84d182f16b8388e1,ccbbc95d13963b8
1a21422b94959278,5419b00bef80caff,nginx-web-server,register_client,1669361909983747,1669361909983,298755,,,CHILD_OF,8fa65ad9222a6810,1a21422b94959278
32b891d02b79e4eb,3f7c0c46495cbf9b,nginx-web-server,register_client,1669361909984228,1669361909984,175745,,,CHILD_OF,d1ea95fb09152340,32b891d02b79e4eb
f4c3f8dac317917,a5a574bb420eb26b,nginx-web-server,register_client,1669361909984660,1669361909984,101552,,,CHILD_OF,7ec3065c18b06334,f4c3f8dac317917
e2f9a98ff12f988,9951e511b6db60c2,nginx-web-server,register_client,1669361909986915,1669361909986,106908,,,CHILD_OF,c04b8855deada52a,e2f9a98ff12f988
28fc9c2077f43d44,d2bd3594c2c74798,nginx-web-server,register_client,1669361909987032,1669361909987,97430,,,CHILD_OF,4baee20108021c5c,28fc9c2077f43d44
1360b1538f0c3cf9,5af9949ff13528ae,nginx-web-server,register_client,1669361909990141,1669361909990,118379,,,CHILD_OF,12b360c7e1ec768c,1360b1538f0c3cf9
28dd262ac5103925,1ae091a32cd1746a,nginx-web-server,register_client,1669361909991208,1669361909991,220813,,,CHILD_OF,1ba8be2c18ee9442,28dd262ac5103925
2fcc25b4c761e7cc,4ff047fd5498d057,nginx-web-server,register_client,1669361909992367,1669361909992,302134,,,CHILD_OF,c054549168f527ad,2fcc25b4c761e7cc
229a440c180cd0a0,f8ab01bf11e53e07,nginx-web-server,register_client,1669361909996444,1669361909996,222151,,,CHILD_OF,1a10e0b005326569,229a440c180cd0a0
32bf3d6aad208961,7ff8ed0e8faecc6e,nginx-web-server,register_client,1669361909997128,1669361909997,224415,,,CHILD_OF,4a7e15b29944597,32bf3d6aad208961
10b9f166b5189c7b,3864661bc953401d,nginx-web-server,register_client,1669361909999725,1669361909999,226900,,,CHILD_OF,9f738f48f5ae4bd2,10b9f166b5189c7b
2dca7c7032751331,30dc0e7b2f31beb3,nginx-web-server,register_client,1669361910003357,1669361910003,219272,,,CHILD_OF,65f1c621284205ed,2dca7c7032751331
3b93b6e39c4c5b0,a5d362983de51ad7,nginx-web-server,register_client,1669361910003509,1669361910003,207552,,,CHILD_OF,dc47ff6e4a5eb6d6,3b93b6e39c4c5b0
125361188b49c378,dd5410605b1e9837,nginx-web-server,register_client,1669361910005811,1669361910005,201513,,,CHILD_OF,70632c256c346,125361188b49c378
1ee898ef244df4d7,45f794dd6399b57e,nginx-web-server,register_client,1669361910006228,1669361910006,246085,,,CHILD_OF,ef00ce4f6eba77b7,1ee898ef244df4d7
1a009aab887ed4ef,a4dc223a366ac6d1,nginx-web-server,register_client,1669361910006475,1669361910006,270509,,,CHILD_OF,b9fa62901a4cbdf4,1a009aab887ed4ef
256e68fc7930e51d,393b32798749f55f,nginx-web-server,register_client,1669361910015716,1669361910015,143154,,,CHILD_OF,304a10f052a42af0,256e68fc7930e51d
14c041c16dcb324e,e3508db9415f1630,nginx-web-server,register_client,1669361910018183,1669361910018,117681,,,CHILD_OF,e1c4e9b33643b226,14c041c16dcb324e
9086e8ba9ca6e7,cff1703df7edd252,nginx-web-server,register_client,1669361910019713,1669361910019,288862,,,CHILD_OF,a8f8b986e1061739,9086e8ba9ca6e7
2ef81309a034bcd1,37792f41261c5c43,nginx-web-server,register_client,1669361910035515,1669361910035,286447,,,CHILD_OF,6140edbf8d044f3,2ef81309a034bcd1
1c85f2b8f8065a29,a2028fbb66b8659e,nginx-web-server,register_client,1669361910036767,1669361910036,161923,,,CHILD_OF,e65d30c3dd74e406,1c85f2b8f8065a29
60f0f674e18b48f,c63548519e71b71b,nginx-web-server,register_client,1669361910046154,1669361910046,88232,,,CHILD_OF,3eedde4a253c0d0c,60f0f674e18b48f
31aaba0bdca58ddf,394f2b76e5ff6263,nginx-web-server,register_client,1669361910454614,1669361910454,22939,,,CHILD_OF,ea6e027018e478b4,31aaba0bdca58ddf
310ad2a2181d66f3,3853334fd81ced83,nginx-web-server,register_client,1669361910459745,1669361910459,221021,,,CHILD_OF,8aa47525bb7633cb,310ad2a2181d66f3
912c9d45b388794,124c940847947e34,nginx-web-server,register_client,1669361910460312,1669361910460,245215,,,CHILD_OF,9c07ab70dcca8505,912c9d45b388794
f9716c21e57449,7017c7095b416bed,nginx-web-server,register_client,1669361910460590,1669361910460,239426,,,CHILD_OF,2734644d48dbf0db,f9716c21e57449
1a7ea007430baa9d,572ef902e09f9ac6,nginx-web-server,register_client,1669361910460980,1669361910460,240829,,,CHILD_OF,e690203877c18d8,1a7ea007430baa9d
13a2541f517bb295,196d1e30385c5057,nginx-web-server,register_client,1669361910461257,1669361910461,173683,,,CHILD_OF,4e1c87d1c614a6b2,13a2541f517bb295
209f91055c478541,969c43c43fd040f2,nginx-web-server,register_client,1669361910463343,1669361910463,213469,,,CHILD_OF,3829b58d228da1e3,209f91055c478541
2b02c379dec9e7b7,48e1ab9ef20230a4,nginx-web-server,register_client,1669361910463591,1669361910463,184995,,,CHILD_OF,d1e6502c31d3a3cd,2b02c379dec9e7b7
407da8bb199d731,d633faf03fb0b6db,nginx-web-server,register_client,1669361910465498,1669361910465,122016,,,CHILD_OF,bcf1021fc97818d6,407da8bb199d731
26406f404911f8d9,10e045550e3fdabd,nginx-web-server,register_client,1669361910466565,1669361910466,254544,,,CHILD_OF,e611fa125ec308ad,26406f404911f8d9
32a6ae80336eab2c,df26b0142bb3757f,nginx-web-server,register_client,1669361910467936,1669361910467,103923,,,CHILD_OF,5b6a4691cb8388a,32a6ae80336eab2c
1c66a45a2d1a0f9c,50e380ff01490c3d,nginx-web-server,register_client,1669361910469010,1669361910469,107179,,,CHILD_OF,1a72d52736cd02e6,1c66a45a2d1a0f9c
1c9467f4ec1a5d29,a528cc52eeb6c97,nginx-web-server,register_client,1669361910470154,1669361910470,117044,,,CHILD_OF,e8964a017514fea6,1c9467f4ec1a5d29
e17c10241f6487a,d2a6dbe8fe95e446,nginx-web-server,register_client,1669361910473509,1669361910473,285494,,,CHILD_OF,305a07461d86bf99,e17c10241f6487a
31002913918c960f,2bc8dcb3446bc8d4,nginx-web-server,register_client,1669361910478617,1669361910478,265504,,,CHILD_OF,7b00783464a231a8,31002913918c960f
b7a3fd21dd1ef49,3d879a692511562,nginx-web-server,register_client,1669361910479324,1669361910479,263579,,,CHILD_OF,6d9449aa5f4b7c98,b7a3fd21dd1ef49
572ee043ce46c54,4119cc2fe954314f,nginx-web-server,register_client,1669361910480461,1669361910480,42238,,,CHILD_OF,46675aaaf9998c9b,572ee043ce46c54
3af8f7051072ed0,1ee80ff84245fb00,nginx-web-server,register_client,1669361910481069,1669361910481,109538,,,CHILD_OF,8237084784fa6c1e,3af8f7051072ed0
1b79986d35596cbb,b5d2f71d0101dd03,nginx-web-server,register_client,1669361910481963,1669361910481,158281,,,CHILD_OF,3ce2c04fda30b00f,1b79986d35596cbb
5a78efdb6fb4793,9926f8d30236a686,nginx-web-server,register_client,1669361910482810,1669361910482,234471,,,CHILD_OF,fd0ba68862b27937,5a78efdb6fb4793
11676e690778fa9a,9ae010151f85c36b,nginx-web-server,register_client,1669361910483761,1669361910483,154689,,,CHILD_OF,a79add953ea13052,11676e690778fa9a
1c13e075829491a1,60a1fdd63cf98d4f,nginx-web-server,register_client,1669361910484043,1669361910484,148281,,,CHILD_OF,3905eb1991bd16d3,1c13e075829491a1
1bde74b6b2a44da9,551e114b854431ac,nginx-web-server,register_client,1669361910485117,1669361910485,58736,,,CHILD_OF,370ac9147956728c,1bde74b6b2a44da9
2f5b999a699b7849,d0525a99cfc452ae,nginx-web-server,register_client,1669361910486012,1669361910486,144580,,,CHILD_OF,a7b622941d7fa4fc,2f5b999a699b7849
183d2c38bcd24fbb,2107b4254a297f07,nginx-web-server,register_client,1669361910486750,1669361910486,47151,,,CHILD_OF,44bc6d2222e6dfdf,183d2c38bcd24fbb
23473e65ff4db447,61c33723cbc63f91,nginx-web-server,register_client,1669361910489524,1669361910489,143276,,,CHILD_OF,acf06e32e75ffd7,23473e65ff4db447
2d5f26c108deba56,713188639a5b4b72,nginx-web-server,register_client,1669361910494487,1669361910494,58472,,,CHILD_OF,e25a82a8a5f990ae,2d5f26c108deba56
a4acb315423310,2e541308940d86d7,nginx-web-server,register_client,1669361910500647,1669361910500,50002,,,CHILD_OF,bbb685ba2c87aee0,a4acb315423310
2bbe1c9a0c7dae51,37f4f3b5883ffcfa,nginx-web-server,register_client,1669361910500772,1669361910500,44410,,,CHILD_OF,f62ca71a81e53fef,2bbe1c9a0c7dae51
d7aa35a8cd0db0c,267dd6b144a7c1c8,nginx-web-server,register_client,1669361910502677,1669361910502,46907,,,CHILD_OF,180e803846991ad0,d7aa35a8cd0db0c
19b5e96d532594ce,43a17c3609425ea3,nginx-web-server,register_client,1669361910502801,1669361910502,41684,,,CHILD_OF,abc648e2ab8e89e7,19b5e96d532594ce
306f909c100bf299,33c4ada7305f7383,nginx-web-server,register_client,1669361910502937,1669361910502,41874,,,CHILD_OF,c410096ef2c15f7b,306f909c100bf299
1044acce397f832e,c6dc6b72ba0c1108,nginx-web-server,register_client,1669361910510004,1669361910510,177172,,,CHILD_OF,474e56cce9345dcb,1044acce397f832e
2c484ca8e4a55ca1,95430dbf640af782,nginx-web-server,register_client,1669361910510526,1669361910510,262428,,,CHILD_OF,dc4bca127d7458da,2c484ca8e4a55ca1
198aa3ac565de2e4,ba5c4f6d9c881b2b,nginx-web-server,register_client,1669361910521907,1669361910521,81254,,,CHILD_OF,e0ec13348c0250f6,198aa3ac565de2e4
d2abfc0d8f19c05,7308c6c836e9e273,nginx-web-server,register_client,1669361910522182,1669361910522,248793,,,CHILD_OF,235d096ef524241d,d2abfc0d8f19c05
c17521c1e233f3c,d334b19090223074,nginx-web-server,register_client,1669361910526377,1669361910526,167814,,,CHILD_OF,425392824831eba9,c17521c1e233f3c
eb9b4c4806f78e7,a43499c744783885,nginx-web-server,register_client,1669361910529316,1669361910529,162182,,,CHILD_OF,a81705b48d2c9db9,eb9b4c4806f78e7
4ed6f794d8d6399,4338d4fa876c7ed3,nginx-web-server,register_client,1669361910530603,1669361910530,158289,,,CHILD_OF,4cdf56a035cf0c39,4ed6f794d8d6399
