Node,traceID,nodeID,node_pair,StartTime,Timestamp
2572,2702d82fd1e3a4bd,3e80d6c13763ee61,"(33, 34)",1669540964389427,2022-11-27 09:22:44.389427
2573,2702d82fd1e3a4bd,a7a02aa6a2d88870,"(33, 35)",1669540964389779,2022-11-27 09:22:44.389779
2560,2702d82fd1e3a4bd,5055e483e5e82065,"(20, 36)",1669540964391301,2022-11-27 09:22:44.391301
2574,2702d82fd1e3a4bd,2f51cce22546682d,"(36, 37)",1669540964391407,2022-11-27 09:22:44.391407
2575,2702d82fd1e3a4bd,f1abe000b076587,"(37, 38)",1669540964391431,2022-11-27 09:22:44.391431
2561,2702d82fd1e3a4bd,c05a27aff4531266,"(20, 39)",1669540964391934,2022-11-27 09:22:44.391934
2576,2702d82fd1e3a4bd,5ca6648289d87072,"(39, 40)",1669540964392024,2022-11-27 09:22:44.392024
2577,2702d82fd1e3a4bd,600ceb93ad069d17,"(40, 41)",1669540964392046,2022-11-27 09:22:44.392046
2578,2702d82fd1e3a4bd,89fbf0addf439bdb,"(40, 42)",1669540964392622,2022-11-27 09:22:44.392622
2562,2702d82fd1e3a4bd,36fc27b087544830,"(20, 43)",1669540964392949,2022-11-27 09:22:44.392949
